year,eurent_VERB assez_ADV,eurent_VERB cassé_VERB
1883,8.720687816321515e-08,0.0
1884,7.988053596363898e-08,0.0
1885,7.799219048365558e-08,6.445635691854079e-10
1886,9.809264867044476e-08,0.0
1887,6.398346386049525e-08,0.0
1888,4.375024076352929e-08,0.0
1889,4.9494580878217675e-08,0.0
1890,6.751017878059429e-08,0.0
1891,7.075384189647593e-08,0.0
1892,3.8864776286118285e-08,0.0
1893,5.049901474762919e-08,0.0
1894,8.255016581415475e-08,0.0
1895,6.801034402315054e-08,0.0
1896,5.5432071377481407e-08,0.0
1897,5.535378022614168e-08,0.0
1898,6.393941021087812e-08,0.0
1899,5.7486815308038786e-08,1.1055156790007459e-09
1900,5.6582479146527476e-08,0.0
1901,4.191554126009578e-08,0.0
1902,4.468358127951433e-08,0.0
1903,4.860198288270112e-08,0.0
1904,5.320879026271541e-08,2.1498500757388683e-09
1905,4.902721073563043e-08,0.0
1906,6.790323681116206e-08,0.0
1907,6.994267209847749e-08,0.0
1908,4.7640472899956876e-08,0.0
1909,6.656190265630357e-08,0.0
1910,6.19921465272455e-08,5.344150677544235e-10
1911,6.544060227042792e-08,1.0640748282497725e-09
1912,4.428008182344456e-08,5.209421227725386e-10
1913,4.1363318104004065e-08,0.0
1914,5.960101745472457e-08,0.0
1915,5.5369582696584985e-08,0.0
1916,3.4061130804730055e-08,0.0
1917,4.0575770299255964e-08,0.0
1918,6.202643021424592e-08,0.0
1919,4.511845830279526e-08,0.0
1920,3.710393414735336e-08,1.514446346106979e-09
1921,4.8465583546430935e-08,0.0
1922,4.352981974875547e-08,0.0
1923,7.537322943562685e-08,0.0
1924,5.1566498626698376e-08,0.0
1925,5.939016034517408e-08,1.0998177923937646e-09
1926,6.13037585139864e-08,0.0
1927,5.2401357919507063e-08,0.0
1928,3.313552099371009e-08,0.0
1929,6.127223173280072e-08,0.0
1930,4.8316575629314684e-08,0.0
1931,4.676196141417677e-08,0.0
1932,4.603005265835236e-08,0.0
1933,5.047091278242988e-08,0.0
1934,3.2350264689284813e-08,0.0
1935,5.0266791618014395e-08,1.196828414151696e-09
1936,4.364897421282876e-08,0.0
1937,2.2664012888640173e-08,0.0
1938,4.537825049055755e-08,1.2965214457594243e-09
1939,3.211750509990452e-08,0.0
1940,6.085878823114399e-08,0.0
1941,3.5418032950929046e-08,0.0
1942,3.3376331032286544e-08,0.0
1943,5.2258233296242906e-08,0.0
1944,4.819779064746399e-08,3.2131861615880553e-09
1945,6.753362669087437e-08,0.0
1946,4.733175273941015e-08,0.0
1947,6.07964452115084e-08,0.0
1948,4.022598432129598e-08,0.0
1949,4.908504180889395e-08,0.0
1950,5.317680873417885e-08,0.0
1951,5.970385075215745e-08,0.0
1952,3.690681538159879e-08,0.0
1953,2.9089333608567358e-08,0.0
1954,3.420387528763058e-08,0.0
1955,2.9095383879962355e-08,0.0
1956,5.5815306154727296e-08,0.0
1957,5.03597163969971e-08,0.0
1958,4.6324561964183886e-08,0.0
1959,3.100299039715537e-08,0.0
1960,3.391208380776334e-08,0.0
1961,3.960450811746341e-08,0.0
1962,4.122271590745186e-08,0.0
1963,4.7202188824257973e-08,0.0
1964,5.658090529436777e-08,3.041984220075733e-09
1965,4.54179591713455e-08,0.0
1966,5.81602854765606e-08,0.0
1967,5.571279260152551e-08,0.0
1968,4.177016776907294e-08,0.0
1969,4.5871754394966047e-08,4.5417578031781147e-10
1970,3.449043717296263e-08,4.5987250119061684e-10
1971,4.3162540208641076e-08,0.0
1972,4.514529194921124e-08,0.0
1973,4.190034985640523e-08,5.513203782392395e-10
1974,2.5877628928583363e-08,5.625571675160757e-10
1975,2.8557401776652114e-08,0.0
1976,3.028169359708954e-08,0.0
1977,3.2322301279918975e-08,0.0
1978,4.099008066305032e-08,1.1881182704343018e-09
1979,4.213420723431227e-08,5.851973350345929e-10
1980,3.2973872521324665e-08,0.0
1981,4.364629191400127e-08,0.0
1982,2.9796010991844923e-08,1.2415004579935385e-09
1983,3.4734238596456635e-08,0.0
1984,3.421414973558967e-08,0.0
1985,2.285912081845254e-08,1.2031116103372597e-09
1986,3.476801424540099e-08,1.1988970927134801e-09
1987,2.9943002743948455e-08,0.0
1988,2.818380373525997e-08,0.0
1989,2.798942233539492e-08,0.0
1990,3.160217687536715e-08,0.0
1991,3.165191131415668e-08,0.0
1992,4.1324582866764104e-08,0.0
1993,3.10195602537533e-08,0.0
1994,3.112206670152773e-08,0.0
1995,2.8738989854559804e-08,0.0
1996,2.4021414191111035e-08,0.0
1997,3.212579358091716e-08,4.79489448146353e-10
1998,2.765514928171342e-08,0.0
1999,3.793266856177979e-08,4.570201161957499e-10
2000,2.1206551181762734e-08,8.836062992401139e-10
2001,2.2344179839706158e-08,4.3812117822561447e-10
2002,2.4534839937473407e-08,0.0
2003,2.8335076507346457e-08,1.6667691671301554e-09
2004,2.7309706496225772e-08,0.0
2005,1.8915748967174295e-08,9.007499190971657e-10
2006,3.3354908168803377e-08,4.1178899179428186e-10
2007,2.9559148018165615e-08,3.994479469415779e-10
2008,2.0435710013089192e-08,8.514879357157668e-10
2009,3.099325240896178e-08,0.0
2010,2.3146585093059002e-08,0.0
2011,3.097417433650662e-08,0.0
2012,3.540422710557323e-08,3.404252713057332e-10
2013,3.7932100127591184e-08,5.578250084070646e-10
2014,5.630157318137208e-08,0.0
2015,3.657349267882637e-08,4.433150790905671e-10
2016,5.095496646845277e-08,2.0713400439298368e-10
2017,3.2954506679061524e-08,2.515611330355938e-10
2018,3.975458895411066e-08,5.162933414126769e-10
2019,5.050955920182787e-08,0.0
