year,petit_ADJ amas_NOUN,petit_ADJ lama_NOUN
1879,1.8633441634108294e-07,0.0
1880,1.2258085968497312e-07,0.0
1881,1.3526665043617214e-07,0.0
1882,1.570670837836019e-07,0.0
1883,1.4092125866227434e-07,0.0
1884,2.257780362668882e-07,0.0
1885,1.4760506417133001e-07,0.0
1886,1.3616808303140715e-07,0.0
1887,1.2927270948148717e-07,0.0
1888,1.2237386215474544e-07,0.0
1889,1.3783301167080708e-07,0.0
1890,1.514063256990994e-07,0.0
1891,1.765658934615999e-07,0.0
1892,1.7363779347689956e-07,0.0
1893,1.9399011830234514e-07,0.0
1894,1.4556555649747338e-07,6.301539290376468e-10
1895,1.3902999373982539e-07,0.0
1896,1.291449315821147e-07,0.0
1897,1.893681919051815e-07,1.7480140668268973e-09
1898,1.1939128796711884e-07,5.6583548957434e-10
1899,1.2492327172708428e-07,0.0
1900,1.3081454142138682e-07,0.0
1901,2.106954610781031e-07,0.0
1902,8.691202496580175e-08,0.0
1903,1.3608555593513927e-07,1.0800440541913758e-09
1904,1.3544055832426238e-07,0.0
1905,1.0218303164721831e-07,0.0
1906,1.1111438852351441e-07,0.0
1907,1.0028544750184665e-07,0.0
1908,8.889614133700263e-08,0.0
1909,1.292731184321383e-07,0.0
1910,1.2184663022996034e-07,5.344150677544235e-10
1911,9.842692072492554e-08,5.320374141248863e-10
1912,1.1929574372793184e-07,1.0418842455450772e-09
1913,9.492351704665225e-08,0.0
1914,1.1652333853362506e-07,0.0
1915,7.304072369151982e-08,0.0
1916,6.92210118113934e-08,0.0
1917,1.2392059578480996e-07,0.0
1918,7.925599643243686e-08,0.0
1919,8.1949848795837e-08,0.0
1920,1.1206903050009487e-07,0.0
1921,1.1131938709718625e-07,0.0
1922,1.1878476158244666e-07,0.0
1923,6.688047005098952e-08,0.0
1924,8.637388393406553e-08,0.0
1925,1.0448269005536304e-07,1.0998177923937646e-09
1926,1.0254447602164873e-07,1.1146138456652466e-09
1927,9.922810306761676e-08,1.1149224876660924e-09
1928,1.1197520199957012e-07,4.570416489713125e-09
1929,9.58074943824272e-08,0.0
1930,1.1343891692661145e-07,0.0
1931,1.1177249348293117e-07,0.0
1932,7.123698630984165e-08,3.287861094491973e-09
1933,1.1126542331929556e-07,0.0
1934,1.6774212596715188e-07,0.0
1935,1.2806064297876674e-07,0.0
1936,9.457277450053425e-08,0.0
1937,6.925115059175369e-08,0.0
1938,1.283556230191607e-07,0.0
1939,5.505858169385647e-08,0.0
1940,1.1918179865233469e-07,0.0
1941,1.3576911417345627e-07,0.0
1942,9.406056733496371e-08,0.0
1943,9.580676163523094e-08,0.0
1944,8.996921074810871e-08,0.0
1945,9.149717206113905e-08,0.0
1946,7.935029167072116e-08,0.0
1947,7.867775053682635e-08,0.0
1948,1.174163912764925e-07,0.0
1949,6.381055406290415e-08,0.0
1950,7.444753302721097e-08,0.0
1951,5.010858927789741e-08,0.0
1952,7.170466487238514e-08,0.0
1953,8.295847409023338e-08,0.0
1954,8.013479657620337e-08,0.0
1955,6.006789021739678e-08,9.385607846468247e-10
1956,6.366433069615596e-08,0.0
1957,8.304935761316301e-08,0.0
1958,7.196851808943805e-08,8.272243445794913e-10
1959,4.960478605653407e-08,0.0
1960,4.5677499616036954e-08,0.0
1961,4.377340445671507e-08,0.0
1962,5.961439059065654e-08,6.341956404476434e-10
1963,4.8495398696779546e-08,0.0
1964,7.057403539345586e-08,6.083968329129164e-10
1965,3.447387442179206e-08,5.472043373977442e-10
1966,6.148373188352707e-08,0.0
1967,4.240088613549631e-08,0.0
1968,3.952446037125412e-08,0.0
1969,3.497153541753839e-08,0.0
1970,5.2885337720187664e-08,1.3796175035718505e-09
1971,5.241165501601586e-08,0.0
1972,3.385896929497534e-08,5.130146862875051e-10
1973,3.032262008151321e-08,1.6539611902288698e-09
1974,3.937900233674796e-08,2.250228725575454e-09
1975,3.8838063876056594e-08,0.0
1976,1.9997344224975677e-08,0.0
1977,2.5270162518076233e-08,0.0
1978,3.564354700280603e-08,0.0
1979,2.048190705927766e-08,1.1703946700691858e-09
1980,2.956278433163817e-08,1.1370301367108482e-09
1981,2.656730796468665e-08,1.8976649140967083e-09
1982,2.6071509950931215e-08,1.2415004579935385e-09
1983,2.210360550147783e-08,0.0
1984,3.5373952933515085e-08,0.0
1985,2.526534326197094e-08,0.0
1986,2.6975184752586756e-08,0.0
1987,2.383218494772521e-08,2.4443267965246207e-09
1988,3.537966708488938e-08,1.1993107618124554e-09
1989,2.8538234886354985e-08,0.0
1990,2.2884334427430986e-08,0.0
1991,2.8721180378443734e-08,0.0
1992,2.2590770365482626e-08,0.0
1993,2.6588195312093887e-08,0.0
1994,3.006708126918056e-08,0.0
1995,2.0605312733845693e-08,0.0
1996,2.989331449043675e-08,0.0
1997,3.6920689172603716e-08,0.0
1998,1.6688451509594415e-08,2.3840646123929332e-09
1999,2.3308025731694215e-08,4.570201161957499e-10
2000,1.6346716091852898e-08,0.0
2001,2.6725391677473453e-08,1.3143635346768434e-09
2002,2.9354183750385232e-08,0.0
2003,2.7084998799331572e-08,4.1669229178253886e-10
2004,2.7309706496225772e-08,0.0
2005,1.8915748190018178e-08,0.0
2006,3.129596382045463e-08,0.0
2007,2.4366324069546863e-08,0.0
2008,3.533675041467177e-08,0.0
2009,3.433098449967531e-08,0.0
2010,2.6453241208646006e-08,0.0
2011,5.009403197808737e-08,1.529588788962144e-09
2012,5.004251513174296e-08,1.3617011129785084e-09
2013,5.104098715902339e-08,1.1156500168141292e-09
2014,4.850597079553154e-08,0.0
2015,4.965128863609891e-08,1.3299452233939135e-09
2016,5.116210061162363e-08,0.0
2017,4.855130045222644e-08,5.031222660711876e-10
2018,4.595010705266134e-08,5.162933414126769e-10
2019,4.311169377047008e-08,5.1019755087367e-10
