year,seriez_VERB au_ADP,seriez_VERB beau_ADV
1918,3.44591288836682e-09,0.0
1919,7.366278698128781e-09,0.0
1920,1.2115570768855832e-08,2.2716695191604686e-09
1921,6.058197943303867e-09,0.0
1922,1.4018077365562931e-08,0.0
1923,3.1847844361720945e-09,0.0
1924,6.445812328337297e-09,0.0
1925,1.4297631523163545e-08,0.0
1926,1.89484357093761e-08,0.0
1927,2.6758140592164636e-08,1.1149224876660924e-09
1928,1.82816659588525e-08,0.0
1929,7.798284684668033e-09,1.1140406375176326e-09
1930,1.7856125467119455e-08,3.1510811737689437e-09
1931,6.843213995466613e-09,0.0
1932,1.0959536389520963e-08,2.1919073223131136e-09
1933,9.176529758292418e-09,0.0
1934,1.1981580172459871e-09,0.0
1935,8.377798899061872e-09,0.0
1936,1.6974599503782883e-08,0.0
1937,3.777335333410292e-09,0.0
1938,9.075650453382877e-09,0.0
1939,6.117620188206274e-09,0.0
1940,2.5357829169792012e-09,0.0
1941,0.0,0.0
1942,3.034211770724937e-09,0.0
1943,8.709705845433291e-09,0.0
1944,3.2131861615880553e-09,0.0
1945,1.089252066321933e-08,0.0
1946,1.2528993842408909e-08,0.0
1947,1.3112957830685446e-08,0.0
1948,1.3046265401328583e-08,0.0
1949,1.7670615193310368e-08,0.0
1950,8.508289184305795e-09,0.0
1951,6.396841278899501e-09,0.0
1952,2.003512733494972e-08,0.0
1953,6.464296653518886e-09,0.0
1954,6.840775057526116e-09,9.772536113672459e-10
1955,6.569925492527773e-09,0.0
1956,1.4825940475304833e-08,0.0
1957,9.718541527092839e-09,0.0
1958,9.926692356998501e-09,0.0
1959,2.0927018340444192e-08,0.0
1960,1.1765417085030094e-08,0.0
1961,9.72742331128984e-09,6.948159270159238e-10
1962,1.1415521861124489e-08,0.0
1963,5.819448034571906e-09,6.466053248388448e-10
1964,1.2776333768727e-08,0.0
1965,6.0192477668863376e-09,1.6416130677043839e-09
1966,1.3293779410616935e-08,1.1078149508847446e-09
1967,1.035370456037299e-08,0.0
1968,8.533690198930799e-09,0.0
1969,8.629339909305145e-09,0.0
1970,1.0117195081704722e-08,0.0
1971,8.735275613958038e-09,0.0
1972,6.669190977248718e-09,0.0
1973,9.923766697284009e-09,0.0
1974,6.750686232237513e-09,0.0
1975,6.8537762132336866e-09,0.0
1976,9.141642998145016e-09,0.0
1977,1.469195431980097e-08,0.0
1978,8.316828115084718e-09,0.0
1979,6.437170796402825e-09,0.0
1980,9.664756106531058e-09,0.0
1981,6.325549417596221e-09,0.0
1982,9.311253101884631e-09,0.0
1983,7.57837881337764e-09,0.0
1984,7.538710988796993e-09,5.799008495621649e-10
1985,6.617113967877231e-09,0.0
1986,1.019062523255343e-08,1.7983456945813714e-09
1987,6.721898593298192e-09,0.0
1988,5.99655392008458e-09,0.0
1989,2.7440609784434855e-09,5.488122178931576e-10
1990,4.358920779878872e-09,0.0
1991,1.1722930182145319e-08,0.0
1992,7.713921945651236e-09,0.0
1993,6.647049133334804e-09,0.0
1994,4.747434001473039e-09,0.0
1995,5.4224509327127635e-09,5.422450821690461e-10
1996,4.804283193493575e-09,0.0
1997,5.274384040632185e-09,0.0
1998,9.536258005482523e-09,0.0
1999,7.769341614505265e-09,0.0
2000,7.068850393920911e-09,0.0
2001,4.8193329327261836e-09,0.0
2002,8.762443215459825e-09,0.0
2003,3.333538334260311e-09,0.0
2004,1.0131019578807354e-08,0.0
2005,7.205999352777326e-09,9.007499190971657e-10
2006,1.4000825387938676e-08,0.0
2007,1.3181781888249589e-08,0.0
2008,1.1920831433087642e-08,4.257439678578834e-10
2009,1.0966842545201416e-08,0.0
2010,1.0864724231396394e-08,0.0
2011,1.5295887223487625e-08,0.0
2012,3.029784778618705e-08,0.0
2013,2.5381037715987986e-08,0.0
2014,2.9016964830930192e-08,0.0
2015,3.1697027225163765e-08,1.10828768384863e-09
2016,2.195620396605591e-08,2.0713400439298368e-10
2017,2.3143623906207722e-08,7.54683426862357e-10
2018,2.6072813241739823e-08,5.162933414126769e-10
2019,2.627517403652746e-08,2.55098775436835e-10
